Date,Open,High,Low,Close,Volume
2024-09-13 11:45:00,562.3500,562.7900,562.3500,562.6150,488648
2024-09-13 11:50:00,562.6100,562.7799,562.4500,562.6953,192392
2024-09-13 11:55:00,562.7100,562.8000,562.5601,562.6600,358760
2024-09-13 12:00:00,562.6500,562.9400,562.5500,562.6400,340651
2024-09-13 12:05:00,562.6300,562.7500,562.1800,562.3203,273031
2024-09-13 12:10:00,562.3250,562.4500,561.6800,561.9600,391876
2024-09-13 12:15:00,561.9400,561.9400,561.6400,561.8201,281576
2024-09-13 12:20:00,561.8299,561.9300,561.5900,561.6500,174558
2024-09-13 12:25:00,561.6700,561.7600,561.5200,561.5700,292507
2024-09-13 12:30:00,561.5650,561.7000,561.5000,561.5900,149252
2024-09-13 12:35:00,561.6300,561.6500,561.3500,561.5500,222299
2024-09-13 12:40:00,561.5600,561.7299,561.4500,561.5200,302596
2024-09-13 12:45:00,561.5400,561.5500,561.3300,561.3999,196858
2024-09-13 12:50:00,561.4000,562.1600,561.3700,562.1450,317074
2024-09-13 12:55:00,562.1591,562.2300,561.9900,562.1900,272003
2024-09-13 13:00:00,562.1900,562.4000,562.1400,562.3500,318750
2024-09-13 13:05:00,562.3300,562.6500,562.2900,562.4300,265645
2024-09-13 13:10:00,562.4500,562.5600,562.3700,562.5100,191367
2024-09-13 13:15:00,562.5050,562.7400,562.4300,562.6800,186275
2024-09-13 13:20:00,562.6800,562.7100,562.2000,562.4300,303690
2024-09-13 13:25:00,562.4200,562.8098,562.4110,562.7600,192862
2024-09-13 13:30:00,562.7301,562.8800,562.5100,562.5700,393544
2024-09-13 13:35:00,562.5300,563.0300,562.4000,562.9700,253658
2024-09-13 13:40:00,562.9700,563.0100,562.6600,562.8800,211532
2024-09-13 13:45:00,562.8900,562.9700,562.7700,562.8889,117874
2024-09-13 13:50:00,562.8900,563.0000,562.8100,562.8500,132244
2024-09-13 13:55:00,562.8600,562.9100,562.4741,562.5700,460855
2024-09-13 14:00:00,562.5700,562.6500,561.3200,562.1600,706344
2024-09-13 14:05:00,562.1500,562.9800,562.1300,562.7900,343350
2024-09-13 14:10:00,562.7900,562.8400,562.2600,562.4200,302292
2024-09-13 14:15:00,562.4200,562.4900,562.1800,562.3501,230444
2024-09-13 14:20:00,562.3500,562.3800,561.5500,561.5500,369378
2024-09-13 14:25:00,561.5200,561.6700,561.2700,561.4099,423436
2024-09-13 14:30:00,561.4100,561.4400,561.1300,561.3400,271431
2024-09-13 14:35:00,561.3600,561.4600,561.1800,561.3300,170415
2024-09-13 14:40:00,561.3400,561.8700,561.2400,561.4700,355626
2024-09-13 14:45:00,561.4806,561.7786,561.3700,561.4100,350100
2024-09-13 14:50:00,561.3900,561.4600,561.1100,561.3200,283130
2024-09-13 14:55:00,561.3000,561.4650,561.2100,561.4400,184934
2024-09-13 15:00:00,561.4300,561.4300,561.0200,561.1880,270045
2024-09-13 15:05:00,561.1900,561.4800,561.1900,561.3000,261215
2024-09-13 15:10:00,561.2900,561.4300,561.1100,561.3700,253194
2024-09-13 15:15:00,561.3600,561.8200,561.2800,561.6400,367568
2024-09-13 15:20:00,561.6400,561.7800,561.4600,561.7437,653384
2024-09-13 15:25:00,561.7532,561.9700,561.4800,561.8000,304631
2024-09-13 15:30:00,561.8000,561.9500,561.7100,561.8400,492611
2024-09-13 15:35:00,561.8450,561.8700,561.2600,561.6500,334131
2024-09-13 15:40:00,561.6350,561.8600,561.6300,561.8600,365908
2024-09-13 15:45:00,561.8400,562.0750,561.7600,561.8300,672284
2024-09-13 15:50:00,561.8200,562.1850,561.7200,562.1700,1178678
2024-09-13 15:55:00,562.1700,562.3400,561.7702,561.9400,2817390
2024-09-13 16:00:00,561.9500,562.0200,558.9188,561.6200,3475115
2024-09-13 16:05:00,561.6200,561.9000,558.9188,561.8500,510488
2024-09-13 16:10:00,562.0100,562.0100,558.9188,561.7900,4447330
2024-09-13 16:15:00,561.7600,562.0100,561.6400,561.9100,121079
2024-09-13 16:20:00,561.9050,562.0100,561.8700,561.9600,100310
2024-09-13 16:25:00,561.9700,562.1100,561.9500,561.9550,46604
2024-09-13 16:30:00,561.9600,562.0100,561.8300,561.8300,23109
2024-09-13 16:35:00,561.8400,561.9200,558.9188,561.8200,135631
2024-09-13 16:40:00,561.8200,562.0100,561.7300,561.7500,6504
2024-09-13 16:45:00,561.7700,561.7700,561.5400,561.6500,11585
2024-09-13 16:50:00,561.6400,561.6900,561.6100,561.6400,6892
2024-09-13 16:55:00,561.6700,561.6800,561.5600,561.5750,22577
2024-09-13 17:00:00,561.6500,561.7400,561.5600,561.5800,566
2024-09-13 17:05:00,561.7100,561.7100,561.5738,561.6450,922
2024-09-13 17:10:00,561.6450,561.8100,561.6000,561.7400,1074
2024-09-13 17:15:00,561.7100,561.7650,561.6900,561.7500,2100
2024-09-13 17:20:00,561.7400,561.7800,561.5700,561.6450,3934
2024-09-13 17:25:00,561.6450,561.7300,561.5900,561.6600,1444
2024-09-13 17:30:00,561.6600,561.7200,561.5600,561.5600,658
2024-09-13 17:35:00,561.6000,561.9334,561.5500,561.5750,448507
2024-09-13 17:40:00,561.5750,561.6000,561.5100,561.5100,1333
2024-09-13 17:45:00,561.5800,561.6000,561.5100,561.5100,730
2024-09-13 17:50:00,561.6000,561.6000,561.5100,561.5300,652
2024-09-13 17:55:00,561.5300,561.7505,561.5100,561.7500,2581
2024-09-13 18:00:00,561.7500,561.7600,561.5200,561.6550,5707
2024-09-13 18:05:00,561.6200,561.7600,561.6100,561.6100,2974
2024-09-13 18:10:00,561.5572,561.7550,561.5572,561.7500,21159
2024-09-13 18:15:00,561.6500,561.8500,561.5800,561.8200,8912
2024-09-13 18:20:00,561.7950,561.8400,561.6950,561.6950,149
2024-09-13 18:25:00,561.7900,561.8400,561.6500,561.7850,7718
2024-09-13 18:30:00,562.0100,562.0100,561.6000,561.6800,1335608
2024-09-13 18:35:00,561.6600,561.6700,561.5800,561.5800,2917
2024-09-13 18:40:00,561.6150,561.6500,561.5800,561.6150,851
2024-09-13 18:45:00,561.6200,561.7000,561.5800,561.6450,205
2024-09-13 18:50:00,561.6500,561.7000,561.5800,561.5800,350
2024-09-13 18:55:00,561.6400,561.7000,561.5800,561.6400,504
2024-09-13 19:00:00,561.6650,561.7500,561.5800,561.6350,144
2024-09-13 19:05:00,561.6900,561.7900,561.6200,561.7550,11182
2024-09-13 19:10:00,561.7550,561.7600,561.7500,561.7500,2796
2024-09-13 19:15:00,561.7550,561.7600,561.7500,561.7500,1042
2024-09-13 19:20:00,561.7550,561.9000,561.5900,561.6750,2101
2024-09-13 19:25:00,561.6750,561.7500,561.6000,561.6800,148
2024-09-13 19:30:00,561.6500,561.7400,561.6000,561.7327,2057
2024-09-13 19:35:00,561.6500,561.7100,561.6000,561.6000,600
2024-09-13 19:40:00,561.6750,561.7500,561.4500,561.7500,6233
2024-09-13 19:45:00,561.6000,561.7100,561.4700,561.5200,898
2024-09-13 19:50:00,561.7265,561.7265,561.4801,561.5300,246
2024-09-13 19:55:00,561.5700,561.6500,561.4600,561.6500,3087
2024-09-13 20:00:00,562.0100,562.0100,562.0100,562.0100,1333678
