date,open,high,low,close,volume,dividends,stock splits,capital gains,typical_price,vwap,vwap_sma,vwap_std,upper_band,lower_band,buy_signal
2024-03-11 00:00:00-04:00,507.262366680964,508.6535361723951,505.2948360482984,508.0573120117188,62557200,0.0,0.0,0.0,507.33522807747073,507.33522807747073,,,,,0
2024-03-12 00:00:00-04:00,510.21367747065415,514.1188989486402,507.6399758536336,513.522705078125,73114400,0.0,0.0,0.0,511.7605266267996,509.7200532601549,,,,,0
2024-03-13 00:00:00-04:00,513.8505413184442,514.0293994656538,511.2470605361051,512.7177124023438,55104100,0.0,0.0,0.0,512.6647241347009,510.5705988922142,,,,,0
2024-03-14 00:00:00-04:00,513.7114194631665,513.8704449197091,508.5939171951663,511.7041931152344,110171800,0.0,0.0,0.0,511.3895184100366,510.8703915049909,,,,,0
2024-03-15 00:00:00-04:00,508.5693041375855,510.0545334150645,506.48602862159686,508.1905212402344,107585800,1.595,0.0,0.0,508.24369442563193,510.17866011702205,,,,,0
2024-03-18 00:00:00-04:00,512.3471030376196,513.8223242549665,510.7921220456132,511.2107543945313,88893300,0.0,0.0,0.0,511.94173356503694,510.4937325657741,,,,,1
2024-03-19 00:00:00-04:00,510.5030861886356,514.3406812773414,509.47636919194895,514.0516357421875,60755300,0.0,0.0,0.0,512.622895403826,510.7254812609122,,,,,0
2024-03-20 00:00:00-04:00,514.1114592851128,518.9458388177766,513.4236756826768,518.8062744140625,69594600,0.0,0.0,0.0,517.0585963048387,511.427563304818,,,,,0
2024-03-21 00:00:00-04:00,521.7069276542877,522.4245831177392,520.2316455812768,520.520751953125,60256100,0.0,0.0,0.0,521.0589935507137,512.2710588369189,,,,,0
2024-03-22 00:00:00-04:00,520.4310048593983,520.9293969793162,519.2946562246536,519.533935546875,79023000,0.0,0.0,0.0,519.919329583615,513.0589929830436,,,,,0
2024-03-25 00:00:00-04:00,518.1284436687797,519.2747698977765,517.9390522267424,518.0985717773438,48512100,0.0,0.0,0.0,518.4374646339543,513.3789185448039,,,,,0
2024-03-26 00:00:00-04:00,519.5538635797216,519.9027745896371,516.7330078019103,517.1416625976562,65463700,0.0,0.0,0.0,517.9258149964012,513.7167687794704,511.1456206772995,1.7863050117637052,512.9319256890632,509.3593156655358,0
2024-03-27 00:00:00-04:00,520.0323437649558,521.5275201709945,517.819451047799,521.4876098632812,82999800,0.0,0.0,0.0,520.2781936940249,514.2816850971404,511.7244920956053,1.5490303242221881,513.2735224198275,510.1754617713831,0
2024-03-28 00:00:00-04:00,521.5275038479859,522.9229652799493,521.098893925669,521.387939453125,96294900,0.0,0.0,0.0,521.8032662195811,514.9647673130996,512.1615516000173,1.6674368112394833,513.8289884112568,510.49411478877784,0
2024-04-01 00:00:00-04:00,522.1455084552367,522.6937276225904,519.2946592750098,520.4808349609375,62477500,0.0,0.0,0.0,520.8230739528459,515.2907480572695,512.5548973637719,1.8087637663103615,514.3636611300823,510.7461335974616,0
2024-04-02 00:00:00-04:00,516.5734627676684,517.3110733824194,514.8191127439995,517.1715698242188,74230300,0.0,0.0,0.0,516.4339186502126,515.3616381933513,512.9291679211353,1.8913002425060916,514.8204681636414,511.03786767862925,0
2024-04-03 00:00:00-04:00,516.0551172277823,519.2747717539253,516.0052901826223,517.7396850585938,59155800,0.0,0.0,0.0,517.6732489983805,515.4704953082123,513.3701541870679,1.8067199749637826,515.1768741620317,511.56343421210414,0
2024-04-04 00:00:00-04:00,521.8365126123222,522.1853627659965,511.111104294994,511.4201049804688,96858100,0.0,0.0,0.0,514.9055240138197,515.4300517657673,513.7815141204006,1.6471843883518393,515.4286985087525,512.1343297320487,0
2024-04-05 00:00:00-04:00,512.8056739414428,518.7664245993375,512.3571088377373,516.7628784179688,74482100,0.0,0.0,0.0,515.9621372850146,515.4578135988842,514.175875148565,1.3964167181625509,515.5722918667275,512.7794584304024,1
2024-04-08 00:00:00-04:00,517.4805506343731,518.5072067417511,516.2245927866272,517.0518798828125,48401800,0.0,0.0,0.0,517.261226470397,515.5169548376856,514.516657776304,1.1402336007897511,515.6568913770938,513.3764241755142,0
2024-04-09 00:00:00-04:00,518.8262225747569,519.0754186470791,512.6959748600776,517.6500244140625,68124400,0.0,0.0,0.0,516.4738059737398,515.5591715094329,514.79066716568,0.9266069996433153,515.7172741653234,513.8640601660367,0
2024-04-10 00:00:00-04:00,511.828779291004,514.5001538955246,510.4432953613143,512.4667358398438,82652800,0.0,0.0,0.0,512.4700616988943,515.4022143701754,514.9859356146078,0.7605227360431115,515.7464583506509,514.2254128785647,0
2024-04-11 00:00:00-04:00,514.0216818131133,517.8094497000849,510.4332829389045,516.334228515625,70099000,0.0,0.0,0.0,514.8589870515381,515.3797724120675,515.1526734368798,0.5721831156594173,515.7248565525392,514.5804903212204,1
2024-04-12 00:00:00-04:00,512.7159145142723,514.1612638578232,507.4429172659005,509.2072448730469,92469100,0.0,0.0,0.0,510.27047533225686,515.1157260388102,515.2692532084914,0.3539108135685105,515.6231640220599,514.9153423949228,0
2024-04-15 00:00:00-04:00,513.4734993236136,513.6429356190649,501.9606224518471,502.8278503417969,92101400,0.0,0.0,0.0,506.14380280423626,514.6765125926493,515.3021554997837,0.2595172857111711,515.5616727854948,515.0426382140726,0
2024-04-16 00:00:00-04:00,503.316266631793,504.87124770548456,500.5950345431116,501.9107971191406,73484000,0.0,0.0,0.0,502.45902645591224,514.2172527740186,515.2398626215271,0.3997112299799318,515.6395738515071,514.8401513915471,0
2024-04-17 00:00:00-04:00,504.42268229635664,504.5921490117264,497.51497440556665,498.94036865234375,75910300,0.0,0.0,0.0,500.34916402321227,513.6988635040129,515.1072055754223,0.5968381835767537,515.7040437589991,514.5103673918455,0
